Row_Id,Order Date,Year,Month,Ship Date,Delivery Time,Ship Mode,Customer Name,Segment,Country,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,11/9/2013,2013,Nov,11/12/2013,3,Second Class,Claire Gute,Consumer,United States,Henderson,Kentucky,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,$261.96 ,2,0.00%,$41.91 
2,11/9/2013,2013,Nov,11/12/2013,3,Second Class,Claire Gute,Consumer,United States,Henderson,Kentucky,South,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",$731.94 ,3,0.00%,$219.58 
3,6/13/2013,2013,Jun,6/17/2013,4,Second Class,Darrin Van Huff,Corporate,United States,Los Angeles,California,West,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,$14.62 ,2,0.00%,$6.87 
4,10/11/2012,2012,Oct,10/18/2012,7,Standard Class,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,$957.58 ,5,45.00%,($383.03)
5,10/11/2012,2012,Oct,10/18/2012,7,Standard Class,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,$22.37 ,2,20.00%,$2.52 
6,6/9/2011,2011,Jun,6/14/2011,5,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",$48.86 ,7,0.00%,$14.17 
7,6/9/2011,2011,Jun,6/14/2011,5,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Office Supplies,Art,Newell 322,$7.28 ,4,0.00%,$1.97 
8,6/9/2011,2011,Jun,6/14/2011,5,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Technology,Phones,Mitel 5320 IP Phone VoIP phone,$907.15 ,6,20.00%,$90.72 
9,6/9/2011,2011,Jun,6/14/2011,5,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,$18.50 ,3,20.00%,$5.78 
10,6/9/2011,2011,Jun,6/14/2011,5,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,$114.90 ,5,0.00%,$34.47 
11,6/9/2011,2011,Jun,6/14/2011,5,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Furniture,Tables,Chromcraft Rectangular Conference Tables,"$1,706.18 ",9,20.00%,$85.31 
